事件ID,报修门店ID,设备ID,原始故障描述,发现时间描述,生产影响,营业影响,风险标签,预期分流,Demo数据标记
FE-001,STORE-001,GEL-001,今天上午开始机器运行时有明显异响，做出来的产品不太成型，已经影响正常出品。,今天上午,中,中,异常声音,正常自动派单,是
FE-002,STORE-002,,售卖柜温度一直往上升，现在不知道具体是哪台。,刚刚,不确定,中,温度异常,待补充,是
FE-003,STORE-001,GEL-002,机器坏了，没反应。,刚刚,不确定,不确定,不确定,低置信度人工复核,是
FE-004,STORE-001,COLD-001,低温设备温度快速升高，存有原料，已经影响生产，请尽快处理。,10分钟前,高,高,温度异常|食品安全,P1超时场景,是
FE-005,STORE-003,GEL-004,设备运行时持续异响，出品速度变慢。,今天下午,中,低,异常声音,处理中,是
FE-006,STORE-002,POS-001,收银软件登录后一直白屏，暂时无法完成收款。,刚刚,无,高,无明显风险,内部IT,是
FE-007,STORE-003,AC-001,前场空调不制冷，室温升高但目前仍可营业。,1小时前,无,中,无明显风险,待验收,是
FE-008,STORE-001,GEL-001,清洁后启动提示异常，怀疑操作顺序或残留问题。,今天早上,低,低,无明显风险,内部维修,是
FE-009,STORE-002,COLD-002,售卖温控设备温度波动，产品温控情况需要人工确认。,今天中午,中,中,温度异常|食品安全,高风险人工复核,是
FE-010,STORE-001,GEL-002,设备启动无响应，检查到有明显焦味，请专业人员处理。,刚刚,高,高,焦味|人员安全,高风险人工复核,是
FE-011,STORE-003,COLD-003,低温储存设备不制冷，当前没有原料存放。,昨天,低,低,温度异常,超时未接单,是
FE-012,STORE-002,GEL-003,Gelato设备运行正常但产品成型偏软，影响部分出品。,30分钟前,中,中,无明显风险,返修中,是
FE-013,STORE-001,GEL-001,设备运行时再次出现咔咔异响，产品成型受到影响。,5天前,中,中,异常声音,重复故障,是
FE-014,STORE-003,AC-001,空调风口出风但不制冷，营业区体感较热。,2天前,无,低,无明显风险,已关闭,是
FE-015,STORE-002,POS-001,POS系统无法打印小票，但收款功能正常。,昨天,无,低,无明显风险,待验收,是
FE-016,STORE-001,COLD-001,冷藏区温度短时升高，复测后仍有波动。,3天前,中,低,温度异常,已关闭,是
FE-017,STORE-003,GEL-004,机器制作过程声音变大，暂时未影响产品成型。,今天上午,低,低,异常声音,待接单,是
FE-018,STORE-002,GEL-003,机器无法启动，已影响今天的正常出品。,刚刚,高,高,无明显风险,处理中,是
FE-019,STORE-001,GEL-002,清洁完成后运行仍有少量残留，想确认操作是否正确。,昨天,低,无,无明显风险,已关闭,是
FE-020,STORE-003,COLD-003,设备温度显示缓慢上升，暂未存放产品。,2小时前,低,低,温度异常,已取消,是
